act,d1390,d1320,u1670,u1620,d1480,u1660,d1460,u1500,d1340,u1590,d1400,u1640,d1470,d1450,u1560,u1650,d1370,u1690,d1300,u1630,d1410,d1380,u1600,u1610,u1510,u1570,u1520,d1360,d1330,d1440,d1310,u1700,u1680,u1530,d1350,d1420,u1550,u1580,d1430,d1490,u1540
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5,23.762115802494854,25.90576661131726,19.952728545884042,24.294536247946297,11.77582068086958,23.883842924937493,23.46644467731144,25.930494642477107,22.054970929576186,24.39742304493179,14.373622132935873,22.712167949511645,23.75550056257058,15.208902898907928,24.696250782048793,15.553123999564047,25.244060319850913,23.57200012523842,26.927451129800932,21.850893276485607,26.794904515998137,25.89313639342577,21.85810813459134,17.666627418077113,14.779349456473934,21.96810613960752,23.832520329538728,25.81668925210879,21.251471637992225,25.751699182982208,24.68115491629035,55.095780178622384,20.237783768572527,26.930728832380627,23.85316733252558,19.613922496291444,26.684261813945078,23.602098255764282,25.73977331336278,23.704427020033147,13.178167825448712
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6,370.49168656231836,358.2524438548211,371.49082983010254,369.4294679413261,261.3390628913628,371.39650589550695,347.4900792669781,310.97703686264356,356.54329388575326,300.16190997131736,370.54738407726614,371.58452884257474,356.3772962907792,335.14367875037885,371.6581036512305,369.99657056844455,369.9400458773794,369.6674338680105,290.77286960338336,370.7159359984412,369.8141465611895,371.5709182460553,345.64544248923835,367.4870943702206,294.4146420329265,354.65039061055234,370.8349042172286,371.3020218172492,342.2549888820266,371.34670744601186,371.1741373946921,335.54858812384475,358.23699239008954,370.21630784373167,340.6029205203755,369.46152423474183,371.29467006558343,254.27984454303797,370.92346556156144,319.28974417275094,334.2426418986718
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.82791411605925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4,-95.66259464325664,-97.71540216630879,-84.21904123333277,-96.46683508996921,-97.8109875406889,-96.85384391081668,-96.42125457447457,-96.93822574154265,-95.66291428948722,-97.2104968177726,-96.66435760574394,-95.20387444583446,-97.12410289282201,-94.93927769655532,-97.93991185467168,-97.1201845240596,-96.48090290877185,-97.14383596475864,-94.95675233479918,-96.38361820419678,-95.98755431786822,-95.95850366908724,-97.05545284855522,-95.02209025584024,-95.56903266672505,-97.4283685873834,-97.54565133796629,-96.19344541314247,-95.28596445602062,-95.26093008452015,-97.23908529906916,-97.89177806580258,-97.1825489981812,-95.47450253932178,-95.49533251915234,-96.99531015780697,-97.60041076857806,-97.82892905761551,-96.393553485342,-96.82216193949398,-96.0005153832758
6,362.433105958011,288.65079643355693,362.0052650941288,328.0894635773826,367.4469080102116,365.37847414151065,359.4063034984867,252.25092216745261,237.57471206838628,327.956277602975,317.6700041944067,368.06597352491445,367.33746190822495,333.9994890746208,299.40132877521575,268.3779242735221,366.3356343848614,367.7725844313511,321.2171819625302,355.8908893413939,309.0068144501093,329.35519264529864,347.2844942699792,303.1073976272959,319.52620965320534,367.94916778824864,310.02196803821585,297.9229581903102,367.74606826765825,367.1508935544224,313.6389565016504,344.8686154142242,366.0030451428301,334.3046777999809,359.7249969294031,319.5775330222885,366.0485710204493,273.2507688185803,366.1225719172989,352.93136750024314,366.09080655152763
-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.19683654979514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,97.65844416708187,94.55340252891003,97.3247472211264,94.45904672065255,92.02327748251899,98.27079448552857,93.7766861422983,98.2407022921996,97.80124554905808,85.22780979887214,97.96584834900065,94.73111659674343,91.82600978134687,92.72248772918458,92.44526214796649,94.8577265268713,97.65439015093114,90.66911937200675,93.18804774111612,94.11201314265352,93.49342605353927,92.89868145106597,94.79069034110461,94.75549628169226,91.24741338841743,95.22643315825809,93.7771509184532,97.80143664109418,95.09648057690738,98.2743320946727,98.51784595984935,91.4958949251875,94.66225096159204,94.0339415167201,98.39764412860062,91.0034889482354,95.45797283464138,95.20971775532253,94.75268691096099,97.35729501310679,98.10394100703168
0,300.6571072900341,300.4829299504767,302.3517680897491,298.4137694505941,300.09193148492096,302.9910720482758,301.0669905211001,290.7375517458277,305.47697484299266,292.02551319960696,298.62473597357604,299.6241162911942,298.9856781591451,295.75896614152236,293.21845373776057,297.0569941607223,285.0559664701472,303.6197462820675,306.2527213770599,303.52806983105376,302.20639068872504,297.25874744452847,306.2942026687367,303.8540094263474,305.68000101952816,302.9922787076942,301.6686315317055,298.72756858722295,303.852200807481,300.8095064321323,291.74192735988004,306.17801249422143,271.82774762146084,304.83831169944887,305.71012729837787,288.4015657320529,299.7899614644045,292.8489607539808,298.7226228715964,293.0740744482831,305.3218490730731
3,-45.75247837346593,-44.22543892638678,-45.05659256293819,-45.683859117656674,-44.42247529999857,-44.810420518927025,-45.223499823290915,-44.05203705827906,-43.61482985775791,-43.36804419655597,-45.245863421922735,-44.43524257096668,-43.566702554439885,-47.46376697837228,-44.37464517776044,-43.81251542842849,-45.24343857185635,-43.91884144114269,-45.47697419020226,-43.82012754372552,-44.825637150283086,-43.781283975340195,-44.675577552412356,-46.144066079643636,-43.7887743552084,-45.96304222937536,-43.54567859467361,-43.26493135958173,-43.29289161309226,-43.118246014514014,-44.29895903985367,-44.169645223086036,-44.08955334386882,-43.196482615232256,-46.23265653698986,-43.93612542514017,-43.075019933664606,-44.28950338970421,-44.12575983541252,-45.0728761101123,-44.96437010795602
2,16.62968484040087,14.175918809078533,13.95184953433624,16.819094918331412,16.5440899508589,18.51443540511856,18.272664183293006,10.895127402597756,17.264890081215142,17.946327899164398,16.684119901262676,15.205492427021083,16.502772135752828,13.249040129560168,18.13331484873875,15.192994507049509,15.83137851962596,17.330719736653123,13.273454888288757,14.13862595782696,16.669124747240378,16.12956873423068,18.012683748838175,17.17756148739144,18.670785077024156,14.190599812869458,16.594118817981325,18.53434047278543,16.810078825385546,17.992717296020334,16.507017775437486,14.103033722511993,17.764883561095555,14.116180847992627,13.804861131471833,17.537029116818097,15.664727165462663,17.096326187893325,15.507933146333103,13.24572837208947,13.07354528145588
-1,82.62307123990726,78.00246492842619,78.79459212831263,82.14612818329616,81.5755883868752,76.45769456547373,81.90783022138567,82.4209389439488,79.42189573907,78.08573444698249,86.99396381927639,78.41571146753522,83.1851590827006,82.56881293161102,79.62502518136179,90.05233346706173,72.36994213236626,83.14982068336528,80.65847330217952,81.26374210199924,81.6901791472257,79.64673807453514,81.9527813124315,81.57112320325737,111.9382804844376,87.38090495933535,82.65796675195318,78.29237616463232,170.13462256095568,81.98763762111591,86.21904364433428,82.66140118480651,82.33487661806629,80.05418270898399,78.69550668676088,82.70480056542931,86.42872706477243,77.75012661976984,85.37845640101634,79.80197413076351,80.12720694630556
4,-89.59625570993975,-91.54975101941565,-90.31086443524435,-90.44208973529453,-90.07028347684114,-88.73141252844863,-90.48753977977852,-91.7350506690077,-91.36082544226689,-90.59723305870189,-89.22857407037391,-91.6473905159114,-91.6049311053701,-9.515894039691831,-89.15995202367957,-90.04702577123743,-91.73570982715857,-90.63015584417913,-90.34353803961775,-88.8243241632058,-88.56597628160164,-89.48626372047318,-90.63388610121636,-89.16558234310014,-89.44042444336974,-90.91508263559219,-89.88890009567159,-90.9903278673305,-89.31112345127244,-88.61552995352135,-91.42380360066704,-91.32178028386627,-89.63051212114217,-89.53373227470016,-88.74761036546226,-89.96455315194271,-90.04957922981929,-91.27217997857976,-91.162304590942,-90.65809894064441,-91.25635031267666
-3,-38.10566937769316,-51.256875808986734,-53.35720845271494,-46.658623146130566,-51.70927513456344,-52.095163563348564,-46.37990887924502,-48.85434430354799,-47.87809159279046,-47.867656211300314,-46.97667732661155,-50.80906049917671,-48.51076851481392,-48.039543881139856,-48.89648080674168,-46.54693760700819,-48.36618091557143,-47.498365868717485,-47.98884503880237,-47.56265600306971,-49.60585893211604,-48.426605118714605,-47.51035772976001,-50.12392164400511,-47.712793783963185,-46.59893538992154,-50.24412099136886,-47.67165386602545,-52.354315628170724,-46.944927694434966,-49.703391928949024,-46.73869228558986,-47.05315752329619,-47.89572942850819,-48.069083214594286,-47.02779556013539,-49.63484978974832,-51.70027802998814,-50.13775390832656,-46.3747034017766,-48.67542853125765
-2,10.44363354937827,5.7967028503009965,5.504163418253174,7.153593053882334,10.478598710721226,10.103322505028352,7.861600477690284,8.347529206673398,7.391617296012292,9.998612560167857,9.33013299274711,7.633402148524615,7.980598458728938,7.717064531501282,9.450087563736652,8.63231183072601,37.34304525006928,6.628840256435578,8.405818952838482,6.451637084741974,6.158779240764463,9.041817096522895,9.75197010725357,5.935611071916199,7.786769671625668,8.210484356404772,5.088675284676583,9.483164409180855,8.257045311295634,9.627286827225367,7.3357757692967684,10.096770100820649,10.247424099093479,9.246465783803744,6.246191208516277,7.7519840159600655,7.812787211077477,8.10453666816511,7.783140055300052,8.610257523969537,9.747699017782356
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,29.4748128261399,27.64198094097881,27.92142045117154,24.692579352813027,20.864067293767672,18.759161318620066,21.824799628175,29.71772416309827,141.01660647779454,25.49473024715776,20.839839049916804,14.936607950268069,29.2460640600317,29.190755889390445,28.180104929705827,28.177806909163053,26.960179120275384,28.054415546427528,26.58170505234744,28.243693344818546,29.286023285189938,25.52188994033741,28.052475341459335,29.117297728507,24.970155715263033,25.190761453153492,16.000081566306278,28.7359152606831,27.279177926745387,28.353398639801593,25.910191431314054,25.904045131294247,29.792252634418652,28.315463859810325,24.88284866132707,16.458429481212022,17.125168072869265,24.88771068327666,24.66764510554574,29.354884335661225,17.69444406343999
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
